Iteration,Training Error,Validation Error
1,89.9470899471,92.9435483871
2,86.5961199295,92.7419354839
3,81.2169312169,89.5161290323
4,75.4850088183,85.0806451613
5,72.3985890653,80.6451612903
6,69.5767195767,76.2096774194
7,66.6666666667,71.7741935484
8,63.315696649,66.935483871
9,60.1410934744,64.5161290323
10,57.9365079365,63.5080645161
11,55.5555555556,62.9032258065
12,53.8800705467,62.0967741935
13,53.1746031746,61.0887096774
14,52.557319224,59.6774193548
15,50.7936507937,58.8709677419
16,49.2063492063,58.2661290323
17,47.9717813051,56.8548387097
18,46.5608465608,56.0483870968
19,44.1798941799,55.4435483871
20,42.2398589065,54.6370967742
21,40.7407407407,54.0322580645
22,38.2716049383,52.8225806452
23,36.1552028219,51.814516129
24,34.7442680776,50.6048387097
25,32.8924162257,49.1935483871
26,32.0987654321,47.9838709677
27,31.3051146384,46.9758064516
28,29.8941798942,45.9677419355
29,28.2186948854,44.9596774194
30,27.1604938272,43.9516129032
31,26.455026455,42.5403225806
32,25.3086419753,42.5403225806
33,24.3386243386,42.5403225806
34,23.0158730159,41.3306451613
35,22.4867724868,40.1209677419
36,21.6931216931,40.1209677419
37,21.2522045855,39.9193548387
38,20.1058201058,39.1129032258
39,19.4885361552,38.7096774194
40,18.9594356261,38.5080645161
41,18.0776014109,37.0967741935
42,17.6366843034,36.6935483871
43,17.8130511464,35.8870967742
44,16.8430335097,34.8790322581
45,16.5784832451,34.2741935484
46,16.049382716,34.0725806452
47,15.69664903,33.6693548387
48,15.3439153439,32.4596774194
49,14.8148148148,31.8548387097
50,14.1093474427,31.8548387097
51,13.5802469136,31.8548387097
52,13.2275132275,31.25
53,12.6984126984,30.0403225806
54,12.4338624339,29.6370967742
55,12.2574955908,29.2338709677
56,11.9047619048,29.0322580645
57,11.6402116402,29.0322580645
58,11.2874779541,28.0241935484
59,11.1111111111,28.0241935484
60,10.758377425,27.8225806452
61,10.582010582,27.6209677419
62,10.582010582,27.2177419355
63,10.4938271605,26.814516129
64,10.3174603175,26.0080645161
65,10.2292768959,25.8064516129
66,10.2292768959,26.0080645161
67,9.96472663139,25.4032258065
68,9.78835978836,25.4032258065
69,9.70017636684,24.7983870968
70,9.43562610229,24.7983870968
71,9.25925925926,24.7983870968
72,9.25925925926,24.5967741935
73,9.25925925926,24.5967741935
74,9.17107583774,24.5967741935
75,8.99470899471,24.7983870968
76,8.99470899471,24.7983870968
77,8.90652557319,24.7983870968
78,8.81834215168,25.0
79,8.81834215168,25.0
80,8.73015873016,25.0
81,8.64197530864,25.0
82,8.55379188713,24.7983870968
83,8.46560846561,24.5967741935
84,8.46560846561,24.7983870968
85,8.46560846561,24.7983870968
86,8.28924162257,24.5967741935
87,8.20105820106,24.3951612903
88,8.02469135802,24.1935483871
89,7.84832451499,24.3951612903
90,7.49559082892,24.3951612903
91,7.31922398589,24.3951612903
92,7.31922398589,24.5967741935
93,7.31922398589,24.3951612903
94,7.14285714286,23.9919354839
95,7.14285714286,24.1935483871
96,7.14285714286,24.1935483871
97,7.14285714286,24.1935483871
98,7.14285714286,24.1935483871
99,7.14285714286,24.1935483871
100,7.14285714286,24.3951612903
101,7.14285714286,24.3951612903
102,7.05467372134,24.3951612903
103,6.87830687831,24.3951612903
104,6.87830687831,24.3951612903
105,6.79012345679,24.3951612903
106,6.79012345679,24.3951612903
107,6.70194003527,24.1935483871
108,6.70194003527,24.1935483871
109,6.79012345679,24.1935483871
110,6.79012345679,24.3951612903
111,6.87830687831,24.7983870968
112,6.87830687831,24.7983870968
113,6.79012345679,25.2016129032
114,6.79012345679,25.4032258065
115,6.79012345679,25.4032258065
116,6.79012345679,25.4032258065
117,6.70194003527,25.2016129032
118,6.70194003527,24.7983870968
119,6.61375661376,24.7983870968
120,6.61375661376,24.5967741935
121,6.52557319224,24.5967741935
122,6.43738977072,24.3951612903
123,6.34920634921,24.3951612903
124,6.34920634921,24.3951612903
125,6.26102292769,24.3951612903
126,6.17283950617,24.5967741935
127,6.17283950617,25.0
128,6.17283950617,25.0
129,6.17283950617,25.4032258065
130,5.99647266314,25.4032258065
131,5.99647266314,25.4032258065
132,5.99647266314,25.4032258065
133,5.99647266314,25.6048387097
134,5.99647266314,25.4032258065
135,5.90828924162,25.8064516129
136,5.82010582011,25.8064516129
137,5.82010582011,25.8064516129
138,5.82010582011,25.8064516129
139,5.73192239859,25.8064516129
140,5.64373897707,25.8064516129
141,5.55555555556,25.8064516129
142,5.64373897707,26.0080645161
143,5.73192239859,25.8064516129
144,5.73192239859,26.0080645161
145,5.64373897707,26.0080645161
146,5.64373897707,26.0080645161
147,5.64373897707,26.0080645161
148,5.46737213404,26.0080645161
149,5.46737213404,26.0080645161
150,5.46737213404,26.0080645161
151,5.46737213404,26.0080645161
152,5.46737213404,26.0080645161
153,5.46737213404,25.8064516129
154,5.46737213404,25.6048387097
155,5.46737213404,25.6048387097
156,5.46737213404,25.6048387097
157,5.46737213404,25.8064516129
158,5.37918871252,25.6048387097
159,5.37918871252,25.8064516129
160,5.29100529101,25.8064516129
161,5.29100529101,26.0080645161
162,5.29100529101,26.0080645161
163,5.29100529101,26.4112903226
164,5.29100529101,26.0080645161
165,5.29100529101,26.6129032258
166,5.20282186949,26.6129032258
167,5.29100529101,26.814516129
168,5.20282186949,26.814516129
169,5.20282186949,26.814516129
170,5.20282186949,26.814516129
171,5.20282186949,26.814516129
172,5.20282186949,27.0161290323
173,5.20282186949,27.0161290323
174,5.11463844797,27.0161290323
175,5.11463844797,27.0161290323
176,5.11463844797,27.0161290323
177,5.11463844797,27.0161290323
178,5.20282186949,27.0161290323
179,5.20282186949,27.0161290323
180,5.11463844797,27.2177419355
181,5.11463844797,27.2177419355
182,5.11463844797,27.2177419355
183,5.11463844797,27.2177419355
184,5.11463844797,27.2177419355
185,5.11463844797,27.2177419355
186,5.11463844797,27.4193548387
187,5.11463844797,27.4193548387
188,5.11463844797,27.4193548387
189,5.11463844797,27.6209677419
190,5.11463844797,27.6209677419
191,5.11463844797,27.6209677419
192,5.11463844797,27.6209677419
193,5.20282186949,27.6209677419
194,5.11463844797,27.6209677419
