Word Len,Freqency
1,2366
2,15262
3,37701
4,48962
5,36980
6,22546
7,13071
8,7001
9,3378
10,1615
11,703
12,303
13,157
14,54
15,17
16,14
17,13
18,6
19,1
20,2
22,1
27,1
