Word Len,Freqency
1,2366
2,15248
3,34851
4,44794
5,33521
6,24066
7,15177
8,8947
9,5428
10,2699
11,1480
12,772
13,404
14,216
15,87
16,39
17,24
18,13
19,7
20,8
21,3
24,2
25,1
27,1
