Sorbonam,Frequency
আমি,29
তাদের,23
এই,12
আমাদের,11
যে,10
তারা,7
এ,7
কেউ,4
কী,4
কিছু,4
ও,3
এর,3
আমাকে,3
সে,2
সব,2
পর,2
নিজে,2
তাদেরকে,2
অন্য,2
যিনি,1
যারা,1
কোন,1
আমরা,1
স্বয়ং,0
সমুদয়,0
সকল,0
যেমন তেমন,0
যেই সেই,0
যাহারা,0
যাহা,0
যারাই ,0
যাঁহা,0
যাঁরা,0
যা,0
যত ততই,0
যত তত,0
যত,0
মোরা,0
মোর,0
মোদের,0
মদীয়,0
ভবদীয়,0
পরস্পর,0
নিজেনিজে,0
নিজ,0
তোরা,0
তোর,0
তোমারি,0
তোমারই,0
তোমাদের,0
তোমাদিগকে ,0
তোমাদিগকে,0
তোমাকে,0
তোমা,0
তোমরা,0
তোদের,0
তোকে,0
তো,0
তুমি,0
তুই,0
তিনি,0
তাহারা,0
তাহাদের,0
তাহাদিগদের,0
তাহাকে,0
তাহাঁদের,0
তারাই,0
তাবৎ,0
তাঁরা,0
তাঁর,0
তাঁদেরকে,0
তাঁদের,0
তাঁকে,0
তা,0
তদীয়,0
তদিও,0
খোদ,0
কেহ,0
কে,0
কীসেরদ্বারা,0
কীসেরথেকে,0
কীসে থেকে,0
কিসের,0
কিসে,0
কি,0
কাহার,0
কাহা,0
কার,0
কা,0
ওরা,0
ওদের,0
ওকে,0
ওঁদের,0
ওঁকে,0
ঐসব,0
ঐ,0
এরা,0
একে,0
এঁর,0
ইহারা,0
ইহাদের,0
ইহাকে,0
ইহা,0
ইনি,0
আমাদিগকে,0
আপসে,0
আপনি,0
আপনারা,0
আপনার,0
আপনাদের,0
আপনা,0
অপর,0
