Sentance Len,Freqency
1,346
2,628
3,1184
4,1696
5,2024
6,1949
7,1785
8,1664
9,1374
10,1127
11,946
12,801
13,661
14,555
15,479
16,349
17,274
18,236
19,190
20,138
21,119
22,114
23,81
24,62
25,65
26,53
27,40
28,33
29,26
30,19
31,22
32,19
33,17
34,15
35,15
36,7
37,18
38,8
39,7
40,5
41,9
42,3
43,6
44,2
45,7
46,4
47,1
48,4
49,2
50,2
52,1
53,1
54,1
55,1
58,1
62,1
63,1
64,1
69,2
91,1
340,1
