Iteration,Training Error,Validation Error
1,76.8959435626,76.6129032258
2,57.848324515,50.8064516129
3,55.8201058201,50.0
4,44.0035273369,44.7580645161
5,37.6543209877,37.2983870968
6,34.7442680776,33.6693548387
7,23.6331569665,34.4758064516
8,20.811287478,29.6370967742
9,17.6366843034,27.2177419355
10,14.6384479718,27.8225806452
11,13.4038800705,26.4112903226
12,11.5520282187,26.2096774194
13,10.6701940035,25.4032258065
14,8.37742504409,24.5967741935
15,7.05467372134,22.3790322581
16,6.17283950617,19.9596774194
17,5.73192239859,17.7419354839
18,4.85008818342,18.5483870968
19,4.67372134039,18.3467741935
20,3.61552028219,17.9435483871
21,2.6455026455,17.7419354839
22,2.38095238095,16.1290322581
23,2.02821869489,17.1370967742
24,2.02821869489,16.3306451613
25,2.1164021164,14.5161290323
26,1.67548500882,15.1209677419
27,1.41093474427,14.9193548387
28,1.41093474427,15.1209677419
29,1.49911816578,14.1129032258
30,1.32275132275,14.5161290323
31,1.41093474427,14.7177419355
32,1.0582010582,13.9112903226
33,0.970017636684,13.5080645161
34,0.705467372134,13.9112903226
35,0.617283950617,13.7096774194
36,0.617283950617,13.7096774194
37,0.617283950617,13.3064516129
38,0.529100529101,13.3064516129
39,0.440917107584,12.9032258065
40,0.440917107584,12.7016129032
41,0.352733686067,12.5
42,0.352733686067,12.9032258065
43,0.352733686067,12.7016129032
44,0.352733686067,13.5080645161
45,0.352733686067,13.1048387097
46,0.352733686067,12.9032258065
47,0.352733686067,12.5
48,0.176366843034,11.6935483871
49,0.0881834215167,11.4919354839
50,0.0881834215167,11.4919354839
51,0.0881834215167,11.6935483871
52,0.0881834215167,12.5
53,0.0881834215167,12.5
54,0.0881834215167,11.0887096774
55,0.0881834215167,11.6935483871
56,0.0,12.0967741935
57,0.0,11.6935483871
58,0.0881834215167,11.8951612903
59,0.0881834215167,12.0967741935
60,0.0881834215167,11.4919354839
61,0.0,11.4919354839
62,0.0,11.4919354839
63,0.0,10.8870967742
64,0.0,11.0887096774
65,0.0,11.0887096774
66,0.0,11.8951612903
67,0.0,11.0887096774
68,0.0,11.6935483871
69,0.0,11.8951612903
70,0.0,12.2983870968
71,0.0,12.2983870968
72,0.0,12.5
73,0.0,12.0967741935
74,0.0,11.8951612903
75,0.0,12.0967741935
76,0.0,11.6935483871
77,0.0,11.6935483871
78,0.0,11.8951612903
79,0.0,11.2903225806
80,0.0,11.6935483871
81,0.0,11.8951612903
82,0.0,12.0967741935
83,0.0,11.8951612903
84,0.0,11.4919354839
85,0.0,11.4919354839
86,0.0,11.2903225806
87,0.0,11.2903225806
88,0.0,11.6935483871
89,0.0,11.6935483871
90,0.0,11.6935483871
91,0.0,12.2983870968
92,0.0,12.2983870968
93,0.0,12.0967741935
94,0.0,12.0967741935
95,0.0,12.0967741935
96,0.0,11.8951612903
97,0.0,11.8951612903
98,0.0,11.6935483871
99,0.0,11.8951612903
100,0.0,11.8951612903
101,0.0,12.2983870968
102,0.0,12.5
103,0.0,12.5
104,0.0,11.8951612903
105,0.0,11.8951612903
106,0.0,11.8951612903
107,0.0,11.8951612903
108,0.0,12.0967741935
109,0.0,12.2983870968
110,0.0,12.2983870968
111,0.0,11.8951612903
112,0.0,12.0967741935
113,0.0,12.2983870968
114,0.0,12.0967741935
115,0.0,12.2983870968
116,0.0,12.0967741935
117,0.0,12.7016129032
118,0.0,12.7016129032
119,0.0,12.2983870968
120,0.0,12.7016129032
121,0.0,12.5
122,0.0,12.2983870968
123,0.0,12.0967741935
124,0.0,12.0967741935
125,0.0,12.0967741935
126,0.0,11.8951612903
127,0.0,11.8951612903
128,0.0,11.8951612903
129,0.0,11.8951612903
130,0.0,11.6935483871
131,0.0,11.6935483871
132,0.0,12.0967741935
133,0.0,12.0967741935
134,0.0,11.8951612903
135,0.0,11.8951612903
136,0.0,11.4919354839
137,0.0,11.4919354839
138,0.0,11.4919354839
139,0.0,11.6935483871
140,0.0,11.8951612903
141,0.0,12.0967741935
142,0.0,12.2983870968
143,0.0,11.8951612903
144,0.0,12.0967741935
145,0.0,12.0967741935
146,0.0,11.8951612903
147,0.0,12.0967741935
148,0.0,11.0887096774
149,0.0,11.6935483871
150,0.0,11.6935483871
151,0.0,11.4919354839
152,0.0,11.4919354839
153,0.0,11.4919354839
154,0.0,11.4919354839
155,0.0,11.2903225806
156,0.0,11.4919354839
157,0.0,11.4919354839
158,0.0,11.4919354839
159,0.0,11.4919354839
160,0.0,11.2903225806
161,0.0,11.2903225806
162,0.0,11.0887096774
163,0.0,11.2903225806
164,0.0,11.0887096774
165,0.0,11.2903225806
166,0.0,11.2903225806
167,0.0,11.2903225806
168,0.0,11.6935483871
169,0.0,11.2903225806
170,0.0,11.2903225806
171,0.0,11.0887096774
172,0.0,11.0887096774
173,0.0,10.8870967742
174,0.0,10.8870967742
175,0.0,11.0887096774
176,0.0,10.8870967742
177,0.0,10.8870967742
178,0.0,10.8870967742
179,0.0,10.8870967742
180,0.0,10.8870967742
181,0.0,10.8870967742
182,0.0,11.0887096774
183,0.0,11.0887096774
184,0.0,10.8870967742
185,0.0,10.8870967742
186,0.0,10.8870967742
187,0.0,10.685483871
188,0.0,10.685483871
189,0.0,10.685483871
190,0.0,10.8870967742
191,0.0,10.8870967742
192,0.0,10.8870967742
193,0.0,10.8870967742
194,0.0,10.8870967742
195,0.0,10.685483871
196,0.0,10.8870967742
197,0.0,10.8870967742
198,0.0,10.685483871
199,0.0,10.685483871
