উপর
ওপর
কি
কী
কোনও
কোনো
ছিল
ছিলো
জন্য
জন্যে
তৈরি
তৈরী
বলল
বললো
বেশি
বেশী
ভাল
ভালো
মত
মতন
মতো
সঙ্গে
সাথে
সেটা
সেটি
হল
হলো
হয়ত
হয়তো
