Word Len,Freqency
1,861
2,20013
3,39976
4,52651
5,33013
6,20550
7,11809
8,7157
9,3818
10,1848
11,840
12,430
13,167
14,67
15,39
16,11
17,8
18,1
19,2
20,1
24,1
29,1
