Word Len,Freqency
1,5094
2,14559
3,31643
4,41543
5,32104
6,23375
7,15606
8,10314
9,6475
10,3838
11,2121
12,1286
13,634
14,331
15,134
16,53
17,31
18,7
19,4
20,5
21,2
23,1
27,1
