Sentance Len,Freqency
1,1551
2,1580
3,2539
4,3004
5,3081
6,2783
7,2388
8,1889
9,1521
10,1195
11,973
12,725
13,592
14,456
15,356
16,314
17,213
18,175
19,158
20,125
21,89
22,88
23,60
24,61
25,57
26,31
27,31
28,22
29,29
30,19
31,24
32,9
33,12
34,19
35,10
36,9
37,5
38,9
39,5
40,4
41,7
42,4
43,3
44,1
45,1
47,1
48,1
50,3
52,1
53,1
56,3
59,1
61,1
63,1
70,1
79,1
91,1
120,1
