Word Len,Freqency
1,1201
2,16515
3,35914
4,47326
5,31869
6,21267
7,13519
8,8355
9,5006
10,3047
11,1800
12,1182
13,825
14,561
15,462
16,69
17,52
18,24
19,18
20,3
21,1
