Iteration,Training Error,Validation Error
107,1.23456790123,12.0967741935
108,1.23456790123,12.2983870968
109,1.23456790123,12.2983870968
110,1.23456790123,12.5
111,1.32275132275,12.5
112,1.23456790123,12.5
113,1.32275132275,12.5
114,1.14638447972,12.5
115,1.23456790123,12.5
116,1.0582010582,12.7016129032
117,0.970017636684,12.7016129032
118,0.970017636684,12.5
119,0.881834215168,12.5
120,0.970017636684,12.2983870968
121,0.881834215168,12.2983870968
122,0.881834215168,12.2983870968
123,0.881834215168,12.5
124,0.881834215168,12.5
125,0.881834215168,12.5
126,0.793650793651,12.5
127,0.793650793651,12.5
128,0.705467372134,12.5
129,0.705467372134,12.5
130,0.705467372134,12.5
131,0.705467372134,12.5
132,0.705467372134,12.5
133,0.705467372134,12.7016129032
134,0.705467372134,12.7016129032
135,0.705467372134,12.7016129032
136,0.705467372134,12.7016129032
137,0.705467372134,12.7016129032
138,0.705467372134,12.7016129032
139,0.705467372134,12.7016129032
140,0.705467372134,12.7016129032
141,0.705467372134,12.7016129032
142,0.617283950617,12.7016129032
143,0.705467372134,12.7016129032
144,0.617283950617,12.7016129032
145,0.705467372134,12.7016129032
146,0.617283950617,12.5
147,0.617283950617,12.5
148,0.617283950617,12.5
149,0.617283950617,12.5
150,0.617283950617,12.5
151,0.617283950617,12.5
152,0.617283950617,12.5
153,0.617283950617,12.5
154,0.617283950617,12.5
155,0.617283950617,12.5
156,0.617283950617,12.5
157,0.617283950617,12.5
158,0.617283950617,12.5
159,0.617283950617,12.5
160,0.617283950617,12.5
161,0.617283950617,12.5
162,0.617283950617,12.2983870968
163,0.617283950617,12.5
164,0.617283950617,12.2983870968
165,0.617283950617,12.5
166,0.617283950617,12.2983870968
167,0.617283950617,12.5
168,0.617283950617,12.2983870968
169,0.617283950617,12.5
170,0.529100529101,12.2983870968
171,0.617283950617,12.2983870968
172,0.529100529101,12.2983870968
173,0.529100529101,12.0967741935
174,0.529100529101,12.0967741935
175,0.529100529101,11.8951612903
176,0.529100529101,12.0967741935
177,0.529100529101,11.8951612903
178,0.529100529101,12.0967741935
179,0.529100529101,11.8951612903
180,0.529100529101,12.0967741935
181,0.529100529101,11.8951612903
182,0.529100529101,11.8951612903
183,0.529100529101,11.8951612903
184,0.529100529101,11.8951612903
185,0.529100529101,11.8951612903
186,0.529100529101,11.8951612903
187,0.529100529101,11.8951612903
188,0.529100529101,11.8951612903
189,0.529100529101,11.8951612903
190,0.529100529101,11.8951612903
191,0.529100529101,11.8951612903
192,0.529100529101,11.8951612903
193,0.529100529101,11.8951612903
194,0.529100529101,11.6935483871
195,0.529100529101,11.8951612903
196,0.529100529101,11.8951612903
197,0.529100529101,11.8951612903
198,0.529100529101,11.8951612903
199,0.529100529101,11.8951612903
200,0.529100529101,11.6935483871
201,0.529100529101,11.8951612903
202,0.529100529101,11.6935483871
203,0.529100529101,12.0967741935
204,0.529100529101,11.6935483871
205,0.529100529101,11.8951612903
206,0.529100529101,11.6935483871
207,0.529100529101,12.0967741935
208,0.529100529101,11.8951612903
209,0.529100529101,12.0967741935
210,0.529100529101,11.6935483871
211,0.529100529101,11.8951612903
212,0.529100529101,11.8951612903
213,0.529100529101,11.8951612903
214,0.529100529101,11.6935483871
215,0.529100529101,11.6935483871
216,0.529100529101,11.6935483871
217,0.529100529101,11.4919354839
218,0.529100529101,11.6935483871
219,0.529100529101,11.8951612903
220,0.529100529101,11.6935483871
221,0.529100529101,11.4919354839
222,0.529100529101,11.8951612903
223,0.529100529101,11.4919354839
224,0.529100529101,11.6935483871
225,0.529100529101,11.4919354839
226,0.529100529101,11.8951612903
227,0.529100529101,11.4919354839
228,0.529100529101,11.4919354839
229,0.529100529101,11.6935483871
230,0.529100529101,11.6935483871
231,0.529100529101,11.4919354839
232,0.529100529101,11.6935483871
233,0.529100529101,11.4919354839
234,0.529100529101,11.6935483871
235,0.529100529101,11.6935483871
236,0.529100529101,11.6935483871
237,0.529100529101,11.6935483871
238,0.529100529101,11.6935483871
239,0.529100529101,11.4919354839
240,0.529100529101,11.6935483871
241,0.529100529101,11.8951612903
242,0.529100529101,11.6935483871
243,0.529100529101,11.8951612903
244,0.529100529101,11.6935483871
245,0.529100529101,11.8951612903
246,0.529100529101,11.6935483871
247,0.529100529101,11.6935483871
248,0.529100529101,11.8951612903
249,0.529100529101,11.8951612903
250,0.529100529101,11.8951612903
251,0.529100529101,11.6935483871
252,0.529100529101,11.8951612903
253,0.529100529101,11.8951612903
254,0.529100529101,12.0967741935
255,0.529100529101,12.0967741935
256,0.529100529101,11.8951612903
257,0.529100529101,11.8951612903
258,0.529100529101,11.8951612903
259,0.529100529101,11.8951612903
260,0.529100529101,11.8951612903
261,0.529100529101,11.8951612903
262,0.529100529101,11.8951612903
263,0.529100529101,11.6935483871
264,0.529100529101,11.6935483871
265,0.529100529101,11.6935483871
266,0.529100529101,11.8951612903
267,0.529100529101,11.6935483871
268,0.529100529101,11.6935483871
269,0.529100529101,11.8951612903
270,0.529100529101,11.6935483871
271,0.529100529101,11.6935483871
272,0.529100529101,11.6935483871
273,0.529100529101,11.6935483871
274,0.529100529101,11.6935483871
275,0.529100529101,11.6935483871
276,0.529100529101,11.6935483871
277,0.529100529101,11.6935483871
278,0.529100529101,11.6935483871
279,0.529100529101,11.6935483871
280,0.529100529101,11.6935483871
281,0.529100529101,11.6935483871
282,0.529100529101,11.6935483871
283,0.529100529101,11.6935483871
284,0.529100529101,11.6935483871
285,0.529100529101,11.6935483871
286,0.529100529101,11.6935483871
287,0.529100529101,11.6935483871
288,0.529100529101,11.6935483871
289,0.529100529101,11.6935483871
290,0.529100529101,11.6935483871
291,0.529100529101,11.4919354839
292,0.529100529101,11.4919354839
293,0.529100529101,11.4919354839
294,0.529100529101,11.4919354839
295,0.529100529101,11.6935483871
296,0.529100529101,11.6935483871
297,0.529100529101,11.6935483871
298,0.529100529101,11.6935483871
299,0.529100529101,11.4919354839
300,0.529100529101,11.4919354839
301,0.529100529101,11.4919354839
302,0.529100529101,11.4919354839
303,0.529100529101,11.4919354839
304,0.529100529101,11.4919354839
305,0.529100529101,11.4919354839
306,0.529100529101,11.4919354839
307,0.529100529101,11.4919354839
308,0.529100529101,11.4919354839
309,0.529100529101,11.4919354839
310,0.529100529101,11.4919354839
311,0.529100529101,11.4919354839
312,0.529100529101,11.4919354839
313,0.529100529101,11.4919354839
314,0.529100529101,11.4919354839
