Sorbonam,Frequency
এই,21
তিনি,15
কিছু,15
কোন,12
কি,11
ও,9
সে,6
পর,6
তো,6
কে,6
আমি,6
তাদের,5
কেউ,5
আমরা,5
যে,4
যারা,3
যা,3
তাঁর,3
সব,2
তুমি,2
তাঁকে,2
ইনি,2
আমাদের,2
সকল,1
পরস্পর,1
নিজ,1
তারাই,1
তারা,1
তাদেরকে,1
তাঁরা,1
তা,1
কী,1
কার,1
ওরা,1
এর,1
এ,1
আপনি,1
অন্য,1
স্বয়ং,0
সমুদয়,0
যেমন তেমন,0
যেই সেই,0
যিনি,0
যাহারা,0
যাহা,0
যারাই ,0
যাঁহা,0
যাঁরা,0
যত ততই,0
যত তত,0
যত,0
মোরা,0
মোর,0
মোদের,0
মদীয়,0
ভবদীয়,0
নিজেনিজে,0
নিজে,0
তোরা,0
তোর,0
তোমারি,0
তোমারই,0
তোমাদের,0
তোমাদিগকে ,0
তোমাদিগকে,0
তোমাকে,0
তোমা,0
তোমরা,0
তোদের,0
তোকে,0
তুই,0
তাহারা,0
তাহাদের,0
তাহাদিগদের,0
তাহাকে,0
তাহাঁদের,0
তাবৎ,0
তাঁদেরকে,0
তাঁদের,0
তদীয়,0
তদিও,0
খোদ,0
কেহ,0
কীসেরদ্বারা,0
কীসেরথেকে,0
কীসে থেকে,0
কিসের,0
কিসে,0
কাহার,0
কাহা,0
কা,0
ওদের,0
ওকে,0
ওঁদের,0
ওঁকে,0
ঐসব,0
ঐ,0
এরা,0
একে,0
এঁর,0
ইহারা,0
ইহাদের,0
ইহাকে,0
ইহা,0
আমাদিগকে,0
আমাকে,0
আপসে,0
আপনারা,0
আপনার,0
আপনাদের,0
আপনা,0
অপর,0
