Sorbonam,Frequency
এই,30
ও,19
যে,10
আমাদের,7
সে,6
পর,6
তিনি,5
কোন,5
অন্য,5
ঐ,4
আমি,4
সকল,3
তাদের,3
এর,3
এ,3
তাঁর,2
কিছু,2
কি,2
আমরা,2
যারা,1
নিজে,1
তাহারা,1
তা,1
কেউ,1
ওরা,1
ওদের,1
স্বয়ং,0
সমুদয়,0
সব,0
যেমন তেমন,0
যেই সেই,0
যিনি,0
যাহারা,0
যাহা,0
যারাই,0
যাঁহা,0
যাঁরা,0
যা,0
যত ততই,0
যত তত,0
যত,0
মোরা,0
মোর,0
মোদের,0
মদীয়,0
ভবদীয়,0
পরস্পর,0
নিজেনিজে,0
নিজ,0
তোরা,0
তোর,0
তোমারি,0
তোমারই,0
তোমাদের,0
তোমাদিগকে,0
তোমাকে,0
তোমা,0
তোমরা,0
তোদের,0
তোকে,0
তো,0
তুমি,0
তুই,0
তাহাদের,0
তাহাদিগদের,0
তাহাকে,0
তাহাঁদের,0
তারাই,0
তারা,0
তাবৎ,0
তাদেরকে,0
তাঁরা,0
তাঁদেরকে,0
তাঁদের,0
তাঁকে,0
তদীয়,0
তদিও,0
খোদ,0
কেহ,0
কে,0
কীসেরদ্বারা,0
কীসেরথেকে,0
কীসে থেকে,0
কী,0
কিসের,0
কিসে,0
কাহার,0
কাহা,0
কার,0
কা,0
ওকে,0
ওঁদের,0
ওঁকে,0
ঐসব,0
এরা,0
একে,0
এঁর,0
ইহারা,0
ইহাদের,0
ইহাকে,0
ইহা,0
ইনি,0
আমাদিগকে,0
আমাকে,0
আপসে,0
আপনি,0
আপনারা,0
আপনার,0
আপনাদের,0
আপনা,0
অপর,0
