Sorbonam,Frequency
আমি,38
কী,12
আমাকে,11
তো,10
তুমি,8
তোমরা,7
এই,7
সে,6
কি,6
যে,5
তোমাদের,5
কেউ,4
কে,4
কিছু,4
পর,3
তারা,3
ওরা,3
আমরা,3
যা,2
যত,2
তোমাকে,2
তা,2
আমাদের,2
সব,1
তোর,1
তুই,1
তারাই,1
তাদের,1
কোন,1
ওদের,1
ও,1
ঐ,1
এরা,1
স্বয়ং,0
সমুদয়,0
সকল,0
যেমন তেমন,0
যেই সেই,0
যিনি,0
যাহারা,0
যাহা,0
যারাই,0
যারা,0
যাঁহা,0
যাঁরা,0
যত ততই,0
যত তত,0
মোরা,0
মোর,0
মোদের,0
মদীয়,0
ভবদীয়,0
পরস্পর,0
নিজেনিজে,0
নিজে,0
নিজ,0
তোরা,0
তোমারি,0
তোমারই,0
তোমাদিগকে,0
তোমা,0
তোদের,0
তোকে,0
তিনি,0
তাহারা,0
তাহাদের,0
তাহাদিগদের,0
তাহাকে,0
তাহাঁদের,0
তাবৎ,0
তাদেরকে,0
তাঁরা,0
তাঁর,0
তাঁদেরকে,0
তাঁদের,0
তাঁকে,0
তদীয়,0
তদিও,0
খোদ,0
কেহ,0
কীসেরদ্বারা,0
কীসেরথেকে,0
কীসে থেকে,0
কিসের,0
কিসে,0
কাহার,0
কাহা,0
কার,0
কা,0
ওকে,0
ওঁদের,0
ওঁকে,0
ঐসব,0
এর,0
একে,0
এঁর,0
এ,0
ইহারা,0
ইহাদের,0
ইহাকে,0
ইহা,0
ইনি,0
আমাদিগকে,0
আপসে,0
আপনি,0
আপনারা,0
আপনার,0
আপনাদের,0
আপনা,0
অপর,0
অন্য,0
