Sorbonam,Frequency
সে,22
এই,17
কী,10
যে,7
আমি,7
আমাদের,7
তো,6
আমাকে,6
তাদের,5
কি,5
আপনি,5
সব,4
তিনি,4
তারা,4
কোন,4
কে,4
আপনার,4
তা,3
কেউ,3
কিছু,3
যা,2
তোমাদের,2
ও,2
পর,1
তোমরা,1
তোদের,1
তুমি,1
তাদেরকে,1
ঐ,1
এর,1
এ,1
আমরা,1
আপনারা,1
অন্য,1
স্বয়ং,0
সমুদয়,0
সকল,0
যেমন তেমন,0
যেই সেই,0
যিনি,0
যাহারা,0
যাহা,0
যারাই ,0
যারা,0
যাঁহা,0
যাঁরা,0
যত ততই,0
যত তত,0
যত,0
মোরা,0
মোর,0
মোদের,0
মদীয়,0
ভবদীয়,0
পরস্পর,0
নিজেনিজে,0
নিজে,0
নিজ,0
তোরা,0
তোর,0
তোমারি,0
তোমারই,0
তোমাদিগকে ,0
তোমাদিগকে,0
তোমাকে,0
তোমা,0
তোকে,0
তুই,0
তাহারা,0
তাহাদের,0
তাহাদিগদের,0
তাহাকে,0
তাহাঁদের,0
তারাই,0
তাবৎ,0
তাঁরা,0
তাঁর,0
তাঁদেরকে,0
তাঁদের,0
তাঁকে,0
তদীয়,0
তদিও,0
খোদ,0
কেহ,0
কীসেরদ্বারা,0
কীসেরথেকে,0
কীসে থেকে,0
কিসের,0
কিসে,0
কাহার,0
কাহা,0
কার,0
কা,0
ওরা,0
ওদের,0
ওকে,0
ওঁদের,0
ওঁকে,0
ঐসব,0
এরা,0
একে,0
এঁর,0
ইহারা,0
ইহাদের,0
ইহাকে,0
ইহা,0
ইনি,0
আমাদিগকে,0
আপসে,0
আপনাদের,0
আপনা,0
অপর,0
