Sorbonam,Frequency
আমি,23
এর,20
কী,14
আমরা,14
এই,11
কি,10
কে,9
এ,8
সব,6
যে,6
পর,6
আমাদের,6
সে,5
তো,5
ও,5
তোমরা,4
তা,4
ওরা,4
ওদের,4
এরা,4
আপনি,4
কিছু,3
তুমি,2
তারা,2
কার,2
ইনি,2
আমাকে,2
অন্য,2
তোমাদের,1
তিনি,1
তাঁর,1
কোন,1
ঐ,1
একে,1
স্বয়ং,0
সমুদয়,0
সকল,0
যেমন তেমন,0
যেই সেই,0
যিনি,0
যাহারা,0
যাহা,0
যারাই ,0
যারা,0
যাঁহা,0
যাঁরা,0
যা,0
যত ততই,0
যত তত,0
যত,0
মোরা,0
মোর,0
মোদের,0
মদীয়,0
ভবদীয়,0
পরস্পর,0
নিজেনিজে,0
নিজে,0
নিজ,0
তোরা,0
তোর,0
তোমারি,0
তোমারই,0
তোমাদিগকে ,0
তোমাদিগকে,0
তোমাকে,0
তোমা,0
তোদের,0
তোকে,0
তুই,0
তাহারা,0
তাহাদের,0
তাহাদিগদের,0
তাহাকে,0
তাহাঁদের,0
তারাই,0
তাবৎ,0
তাদেরকে,0
তাদের,0
তাঁরা,0
তাঁদেরকে,0
তাঁদের,0
তাঁকে,0
তদীয়,0
তদিও,0
খোদ,0
কেহ,0
কেউ,0
কীসেরদ্বারা,0
কীসেরথেকে,0
কীসে থেকে,0
কিসের,0
কিসে,0
কাহার,0
কাহা,0
কা,0
ওকে,0
ওঁদের,0
ওঁকে,0
ঐসব,0
এঁর,0
ইহারা,0
ইহাদের,0
ইহাকে,0
ইহা,0
আমাদিগকে,0
আপসে,0
আপনারা,0
আপনার,0
আপনাদের,0
আপনা,0
অপর,0
