Sorbonam,Frequency
আমি,17
কী,16
এই,16
তো,14
সে,12
কে,12
কি,11
ও,11
যে,7
তুমি,7
তারা,6
কিছু,6
আমাদের,6
আমাকে,6
আমরা,6
সব,5
পর,5
তিনি,5
ওরা,4
আপনি,4
আপনাদের,4
তুই,3
কেউ,2
কার,2
ওকে,2
এ,2
আপনারা,2
যারা,1
তোরা,1
তোর,1
তোমাদের,1
তোমাকে,1
তা,1
কিসের,1
এর,1
আপনার,1
অন্য,1
স্বয়ং,0
সমুদয়,0
সকল,0
যেমন তেমন,0
যেই সেই,0
যিনি,0
যাহারা,0
যাহা,0
যারাই ,0
যাঁহা,0
যাঁরা,0
যা,0
যত ততই,0
যত তত,0
যত,0
মোরা,0
মোর,0
মোদের,0
মদীয়,0
ভবদীয়,0
পরস্পর,0
নিজেনিজে,0
নিজে,0
নিজ,0
তোমারি,0
তোমারই,0
তোমাদিগকে ,0
তোমাদিগকে,0
তোমা,0
তোমরা,0
তোদের,0
তোকে,0
তাহারা,0
তাহাদের,0
তাহাদিগদের,0
তাহাকে,0
তাহাঁদের,0
তারাই,0
তাবৎ,0
তাদেরকে,0
তাদের,0
তাঁরা,0
তাঁর,0
তাঁদেরকে,0
তাঁদের,0
তাঁকে,0
তদীয়,0
তদিও,0
খোদ,0
কোন,0
কেহ,0
কীসেরদ্বারা,0
কীসেরথেকে,0
কীসে থেকে,0
কিসে,0
কাহার,0
কাহা,0
কা,0
ওদের,0
ওঁদের,0
ওঁকে,0
ঐসব,0
ঐ,0
এরা,0
একে,0
এঁর,0
ইহারা,0
ইহাদের,0
ইহাকে,0
ইহা,0
ইনি,0
আমাদিগকে,0
আপসে,0
আপনা,0
অপর,0
