ছিল
দিন
তবে
করতে
দেখা
পাখি
সময়
জানি
নিয়ে
করার
এই
পরে
কিছু
আপনার
ভেতরে
যেন
পর
সবাই
যদি
কথা
মনে
কেন
নাই
স্যার
আগে
তাকে
আবার
সাথে
জন্যে
করে
থাকে
হলো
তা
আমরা
তাঁর
গেল
তিনি
আমাদের
কে
কাছে
গিয়ে
হয়ত
আমি
নি
মধ্যে
হবে
দেশের
বললেন
কিংবা
এটা
ওপর
কিন্তু
বড়ো
পড়ে
পারে
নাম
কোন
বেশি
হিসেবে
খুব
দিয়ে
এখন
নয়
হল
ঝাকানাকা
শুধু
বেশ
সে
হয়ে
দেওয়া
মানুষ
ওই
হতে
এমন
এক
আমাকে
গেছে
কোন
অনেক
আরো
এত
কী
সেই
দেখে
নাকি
সংবাদ
বলল
বছর
মতন
আছে
আস্তে
নিজের
কি
বলে
কইরা
নেই
তোমার
দু
তো
মতো
তারা
আপনি
ব্যবহার
একটি
যে
এরকম
কাজ
করেন
যখন
তুমি
কেউ
সব
ওর
মাঝে
এর
হয়
এসে
ভালো
বই
বসে
আর
শুরু
মা
থেকে
সেমি
ছবি
ছিলো
হয়
সময়
বলেন
দিয়ে
হয়ে
এবার
দিকে
জন্য
তাদের
আজ
অবশ্য
বেশী
ভাই
হাত
যায়
সঙ্গে
হচ্ছে
এবং
তখন
একটু
কোনো
বা
সেটা
তারপর
নিয়ে
ধরে
বড়
দেশে
শেষ
আমার
করা
যায়
নানা
ঠিক
হয়েছে
তার
একজন
মত
না
একটা
চলে
গেলো
তাই
