Writer,3 error,2 error,1 error,3-tot,2-tot,1-tot
Emon Jubayer,37.29338842975206,11.15702479338843,4.338842975206612,361-968,108-968,42-968
Hasan Mahbub,21.142857142857142,8.0,0.5714285714285714,37-175,14-175,1-175
Kandari Athorbo,60.1123595505618,34.831460674157306,14.04494382022472,107-178,62-178,25-178
MZI,28.82882882882883,1.8018018018018018,0.0,32-111,2-111,0-111
Nir Shondhani,21.55688622754491,4.191616766467066,1.1976047904191618,36-167,7-167,2-167
Tareque Anu,27.011494252873565,4.022988505747127,1.1494252873563218,94-348,14-348,4-348
