Number of node in 1st hidden layer,train score,validation score,test score,iterations
5,0.92654824772,61.433447099,63.1090487239,567
10,0.999039846375,79.9772468714,77.7262180974,583
15,0.999759961594,86.803185438,86.1948955916,534
20,1.0,91.353811149,90.8352668213,396
25,1.0,93.9704209329,91.5313225058,350
30,1.0,95.449374289,93.5034802784,317
35,1.0,95.6769055745,93.0394431555,292
40,1.0,95.7906712173,94.0835266821,274
45,1.0,95.7906712173,94.6635730858,252
50,1.0,96.3594994312,94.5475638051,241
55,1.0,96.4732650739,94.6635730858,235
60,1.0,96.2457337884,94.7795823666,224
65,1.0,96.8145620023,96.0556844548,212
70,1.0,96.2457337884,94.1995359629,208
75,1.0,97.1558589306,94.7795823666,202
80,1.0,97.2696245734,95.3596287703,196
85,1.0,97.2696245734,95.0116009281,189
90,1.0,97.0420932878,95.3596287703,184
95,1.0,96.9283276451,94.8955916473,182
100,1.0,97.0420932878,94.8955916473,176
105,1.0,97.1558589306,95.1276102088,174
110,1.0,97.0420932878,95.1276102088,170
115,1.0,97.0420932878,95.2436194896,169
120,1.0,97.2696245734,95.475638051,169
125,1.0,97.1558589306,95.475638051,162
130,1.0,97.2696245734,95.475638051,161
135,1.0,96.7007963595,95.475638051,158
140,1.0,97.3833902162,95.475638051,157
145,1.0,97.4971558589,95.3596287703,154
150,1.0,97.1558589306,95.7076566125,153
155,1.0,97.1558589306,95.0116009281,151
160,1.0,97.2696245734,95.475638051,148
165,1.0,97.4971558589,95.475638051,147
170,1.0,97.3833902162,95.475638051,145
175,1.0,97.2696245734,95.3596287703,144
180,1.0,97.4971558589,95.5916473318,143
185,1.0,97.4971558589,95.8236658933,142
190,1.0,97.0420932878,95.2436194896,140
195,1.0,97.0420932878,95.1276102088,141
200,1.0,97.6109215017,95.8236658933,138
205,1.0,97.2696245734,95.5916473318,136
210,1.0,97.7246871445,95.5916473318,137
215,1.0,97.7246871445,95.7076566125,135
220,1.0,97.3833902162,95.8236658933,136
225,1.0,97.4971558589,95.0116009281,133
230,1.0,97.4971558589,95.1276102088,133
235,1.0,97.2696245734,95.5916473318,133
240,1.0,97.6109215017,95.5916473318,130
245,1.0,97.2696245734,95.0116009281,129
250,1.0,97.6109215017,95.1276102088,129
255,1.0,97.4971558589,95.0116009281,130
260,1.0,97.1558589306,95.5916473318,127
265,1.0,97.3833902162,95.5916473318,127
270,1.0,97.4971558589,95.3596287703,125
275,1.0,97.0420932878,95.475638051,125
280,1.0,97.4971558589,95.3596287703,124
285,1.0,97.4971558589,95.2436194896,126
290,1.0,97.2696245734,95.2436194896,124
295,1.0,97.1558589306,95.2436194896,124
300,1.0,97.3833902162,95.1276102088,122
305,1.0,97.2696245734,95.2436194896,122
310,1.0,97.2696245734,95.5916473318,120
315,1.0,97.7246871445,95.3596287703,120
320,1.0,97.6109215017,95.0116009281,119
325,1.0,97.3833902162,95.3596287703,120
330,1.0,97.1558589306,95.7076566125,118
335,1.0,97.6109215017,95.1276102088,119
340,1.0,97.6109215017,95.5916473318,118
345,1.0,96.9283276451,95.475638051,117
350,1.0,97.2696245734,95.0116009281,117
355,1.0,97.1558589306,95.0116009281,118
360,1.0,97.3833902162,95.1276102088,116
365,1.0,97.4971558589,95.475638051,116
370,1.0,97.6109215017,95.7076566125,117
375,1.0,97.2696245734,95.3596287703,115
380,1.0,97.7246871445,95.3596287703,114
385,1.0,97.3833902162,95.3596287703,114
390,1.0,97.0420932878,95.475638051,113
395,1.0,97.3833902162,95.3596287703,113
