Number of node in 1st hidden layer,train score,validation score,test score,iterations
5,0.95391262602,62.5711035267,62.8770301624,513
10,0.999759961594,83.731513083,81.6705336427,509
15,0.999759961594,87.9408418658,88.6310904872,424
20,1.0,91.5813424346,91.4153132251,317
25,1.0,94.6530147895,92.343387471,307
30,1.0,95.3356086462,93.2714617169,306
35,1.0,95.449374289,93.3874709977,311
40,1.0,95.6769055745,94.5475638051,285
45,1.0,95.3356086462,94.3155452436,286
50,1.0,96.3594994312,95.0116009281,268
55,1.0,95.9044368601,94.3155452436,280
60,1.0,96.3594994312,95.0116009281,271
65,1.0,96.5870307167,95.2436194896,269
70,1.0,96.7007963595,94.1995359629,242
75,1.0,96.4732650739,94.4315545244,244
80,1.0,96.5870307167,94.6635730858,253
85,1.0,96.7007963595,94.8955916473,252
90,1.0,96.1319681456,95.1276102088,248
95,1.0,96.2457337884,94.8955916473,252
100,1.0,96.0182025028,94.4315545244,224
105,1.0,96.3594994312,94.5475638051,225
110,1.0,97.1558589306,95.475638051,230
115,1.0,96.4732650739,95.0116009281,235
120,1.0,96.3594994312,94.8955916473,238
125,1.0,96.9283276451,95.1276102088,218
130,1.0,96.7007963595,94.6635730858,222
135,1.0,96.4732650739,94.6635730858,223
140,1.0,96.7007963595,95.1276102088,212
145,1.0,96.7007963595,94.8955916473,221
150,1.0,96.4732650739,94.8955916473,213
155,1.0,96.8145620023,94.5475638051,208
160,1.0,96.7007963595,94.7795823666,201
165,1.0,96.8145620023,95.0116009281,208
170,1.0,96.5870307167,94.8955916473,208
175,1.0,96.7007963595,94.7795823666,212
180,1.0,96.7007963595,95.0116009281,199
185,1.0,96.5870307167,95.0116009281,204
190,1.0,96.7007963595,94.6635730858,205
195,1.0,96.5870307167,94.5475638051,213
200,1.0,96.2457337884,94.7795823666,198
205,1.0,96.4732650739,94.7795823666,201
210,1.0,96.8145620023,94.8955916473,198
215,1.0,96.7007963595,94.5475638051,206
220,1.0,96.5870307167,95.1276102088,205
225,1.0,96.5870307167,94.5475638051,198
230,1.0,96.5870307167,95.1276102088,197
235,1.0,96.3594994312,94.5475638051,202
240,1.0,96.7007963595,94.8955916473,190
245,1.0,96.4732650739,94.7795823666,196
250,1.0,96.5870307167,94.8955916473,203
255,1.0,96.7007963595,94.6635730858,193
260,1.0,96.4732650739,94.8955916473,208
265,1.0,96.7007963595,94.7795823666,200
270,1.0,96.7007963595,94.7795823666,202
275,1.0,96.5870307167,94.7795823666,207
280,1.0,96.7007963595,94.8955916473,188
285,1.0,96.3594994312,94.8955916473,209
290,1.0,96.3594994312,94.6635730858,202
295,1.0,96.3594994312,94.8955916473,199
300,1.0,96.1319681456,94.8955916473,191
305,1.0,96.8145620023,94.7795823666,188
310,1.0,96.2457337884,94.5475638051,196
315,1.0,96.8145620023,95.0116009281,183
320,1.0,96.1319681456,95.0116009281,193
325,1.0,96.4732650739,94.7795823666,191
330,1.0,96.5870307167,94.8955916473,180
335,1.0,96.2457337884,94.8955916473,194
340,1.0,96.3594994312,94.5475638051,198
345,1.0,96.5870307167,94.5475638051,200
350,1.0,96.1319681456,94.8955916473,193
355,1.0,96.2457337884,94.8955916473,187
360,1.0,96.3594994312,94.7795823666,197
365,1.0,96.5870307167,94.7795823666,197
370,1.0,97.0420932878,94.7795823666,181
375,1.0,96.5870307167,94.8955916473,184
380,1.0,96.4732650739,94.5475638051,187
385,1.0,96.7007963595,94.7795823666,171
390,1.0,96.3594994312,94.6635730858,182
395,1.0,96.8145620023,94.7795823666,189
