Number of node in 1st hidden layer,train score,validation score,test score,iterations
5,0.906144983197,60.7508532423,61.8329466357,481
10,0.999759961594,81.228668942,78.8863109049,593
15,0.999759961594,87.4857792947,86.5429234339,536
20,1.0,91.353811149,90.6032482599,417
25,1.0,93.5153583618,91.5313225058,370
30,1.0,95.3356086462,93.5034802784,336
35,1.0,95.6769055745,93.2714617169,314
40,1.0,95.9044368601,94.0835266821,294
45,1.0,95.6769055745,94.8955916473,262
50,1.0,96.3594994312,94.4315545244,252
55,1.0,96.3594994312,94.5475638051,243
60,1.0,96.2457337884,94.8955916473,231
65,1.0,96.7007963595,96.1716937355,219
70,1.0,96.2457337884,94.3155452436,214
75,1.0,97.1558589306,94.8955916473,208
80,1.0,97.3833902162,95.3596287703,201
85,1.0,97.1558589306,95.1276102088,194
90,1.0,96.9283276451,95.5916473318,190
95,1.0,96.9283276451,94.8955916473,188
100,1.0,97.0420932878,94.8955916473,181
105,1.0,97.0420932878,95.1276102088,179
110,1.0,97.0420932878,95.1276102088,175
115,1.0,97.0420932878,95.2436194896,174
120,1.0,97.2696245734,95.7076566125,175
125,1.0,97.1558589306,95.3596287703,167
130,1.0,97.3833902162,95.5916473318,167
135,1.0,96.7007963595,95.5916473318,163
140,1.0,97.2696245734,95.475638051,162
145,1.0,97.3833902162,95.475638051,159
150,1.0,97.1558589306,95.7076566125,155
155,1.0,97.0420932878,95.2436194896,157
160,1.0,97.3833902162,95.475638051,153
165,1.0,97.3833902162,95.475638051,151
170,1.0,97.3833902162,95.475638051,149
175,1.0,97.2696245734,95.3596287703,150
180,1.0,97.4971558589,95.7076566125,148
185,1.0,97.4971558589,95.8236658933,146
190,1.0,97.0420932878,95.3596287703,144
195,1.0,96.9283276451,95.1276102088,145
200,1.0,97.6109215017,95.7076566125,142
205,1.0,97.2696245734,95.5916473318,140
210,1.0,97.7246871445,95.3596287703,142
215,1.0,97.4971558589,95.8236658933,140
220,1.0,97.3833902162,95.5916473318,141
225,1.0,97.4971558589,95.0116009281,137
230,1.0,97.4971558589,95.0116009281,138
235,1.0,97.1558589306,95.475638051,138
240,1.0,97.4971558589,95.5916473318,138
245,1.0,97.2696245734,95.0116009281,134
250,1.0,97.4971558589,95.3596287703,134
255,1.0,97.3833902162,95.1276102088,133
260,1.0,96.9283276451,95.5916473318,133
265,1.0,97.3833902162,95.475638051,131
270,1.0,97.2696245734,95.475638051,132
275,1.0,97.0420932878,95.475638051,130
280,1.0,97.3833902162,95.475638051,130
285,1.0,97.3833902162,95.2436194896,131
290,1.0,97.2696245734,95.2436194896,129
295,1.0,97.0420932878,95.3596287703,129
300,1.0,97.2696245734,95.1276102088,128
305,1.0,97.2696245734,95.2436194896,127
310,1.0,97.1558589306,95.475638051,126
315,1.0,97.6109215017,95.5916473318,126
320,1.0,97.4971558589,95.0116009281,126
325,1.0,97.3833902162,95.3596287703,125
330,1.0,97.0420932878,95.475638051,126
335,1.0,97.4971558589,95.0116009281,125
340,1.0,97.6109215017,95.5916473318,124
345,1.0,97.0420932878,95.3596287703,123
350,1.0,97.1558589306,95.1276102088,124
355,1.0,97.1558589306,95.0116009281,124
360,1.0,97.3833902162,94.8955916473,125
365,1.0,97.4971558589,95.475638051,123
370,1.0,97.3833902162,95.8236658933,124
375,1.0,97.2696245734,95.3596287703,121
380,1.0,97.7246871445,95.3596287703,122
385,1.0,97.2696245734,95.3596287703,120
390,1.0,97.0420932878,95.3596287703,118
395,1.0,97.2696245734,95.3596287703,120
