Number of node in 1st hidden layer,train score,validation score,test score,iterations
5,0.899663946231,59.1581342435,61.716937355,437
10,0.999519923188,83.1626848692,79.8143851508,409
15,0.999759961594,87.827076223,87.7030162413,458
20,1.0,91.2400455063,90.4872389791,405
25,1.0,93.9704209329,91.879350348,359
30,1.0,95.2218430034,92.9234338747,344
35,1.0,94.9943117179,93.0394431555,338
40,1.0,95.7906712173,94.5475638051,323
45,1.0,95.1080773606,94.3155452436,307
50,1.0,96.3594994312,94.8955916473,309
55,1.0,96.0182025028,94.6635730858,310
60,1.0,95.9044368601,94.6635730858,298
65,1.0,96.2457337884,95.939675174,290
70,1.0,96.3594994312,94.3155452436,290
75,1.0,96.7007963595,94.6635730858,288
80,1.0,96.5870307167,94.7795823666,284
85,1.0,96.8145620023,94.7795823666,276
90,1.0,96.0182025028,95.1276102088,279
95,1.0,96.3594994312,94.8955916473,272
100,1.0,96.2457337884,94.8955916473,270
105,1.0,96.7007963595,94.8955916473,263
110,1.0,96.9283276451,95.7076566125,264
115,1.0,96.4732650739,95.0116009281,265
120,1.0,96.3594994312,95.1276102088,264
125,1.0,96.8145620023,95.2436194896,263
130,1.0,96.8145620023,95.3596287703,261
135,1.0,96.3594994312,95.2436194896,251
140,1.0,96.9283276451,95.1276102088,251
145,1.0,96.2457337884,95.1276102088,256
150,1.0,96.2457337884,95.2436194896,254
155,1.0,96.8145620023,94.8955916473,251
160,1.0,96.5870307167,94.7795823666,247
165,1.0,96.8145620023,95.0116009281,247
170,1.0,96.9283276451,95.0116009281,246
175,1.0,96.7007963595,94.8955916473,251
180,1.0,96.8145620023,94.8955916473,252
185,1.0,96.7007963595,94.7795823666,247
190,1.0,96.8145620023,95.0116009281,241
195,1.0,96.8145620023,94.6635730858,243
200,1.0,96.4732650739,94.7795823666,239
205,1.0,96.7007963595,95.0116009281,241
210,1.0,96.5870307167,95.1276102088,235
215,1.0,96.9283276451,94.7795823666,249
220,1.0,96.5870307167,95.0116009281,248
225,1.0,96.7007963595,94.7795823666,240
230,1.0,96.7007963595,95.1276102088,241
235,1.0,96.3594994312,94.8955916473,235
240,1.0,96.9283276451,95.0116009281,239
245,1.0,97.0420932878,94.6635730858,240
250,1.0,96.7007963595,94.8955916473,234
255,1.0,96.8145620023,94.6635730858,243
260,1.0,96.8145620023,94.8955916473,238
265,1.0,96.7007963595,94.7795823666,232
270,1.0,96.9283276451,94.8955916473,233
275,1.0,96.7007963595,95.1276102088,230
280,1.0,96.9283276451,94.8955916473,232
285,1.0,96.8145620023,95.1276102088,230
290,1.0,96.8145620023,95.0116009281,224
295,1.0,96.4732650739,94.8955916473,233
300,1.0,96.5870307167,95.1276102088,234
305,1.0,96.9283276451,94.7795823666,235
310,1.0,96.8145620023,94.7795823666,236
315,1.0,96.8145620023,95.0116009281,238
320,1.0,96.8145620023,94.8955916473,228
325,1.0,96.7007963595,94.6635730858,237
330,1.0,96.5870307167,95.0116009281,227
335,1.0,96.5870307167,94.8955916473,227
340,1.0,96.9283276451,94.8955916473,219
345,1.0,96.7007963595,95.0116009281,226
350,1.0,96.4732650739,94.7795823666,226
355,1.0,96.4732650739,95.0116009281,232
360,1.0,96.9283276451,94.7795823666,234
365,1.0,96.5870307167,95.0116009281,228
370,1.0,96.9283276451,94.8955916473,231
375,1.0,96.5870307167,94.8955916473,228
380,1.0,96.4732650739,95.0116009281,227
385,1.0,96.5870307167,94.8955916473,227
390,1.0,96.5870307167,94.8955916473,223
395,1.0,96.8145620023,94.7795823666,228
