Iteration,Training Error,Validation Error
111,34.1094575132,36.1774744027
112,34.1094575132,36.4050056883
113,34.1334613538,36.2912400455
114,34.1094575132,36.4050056883
115,34.061449832,36.2912400455
116,34.1094575132,36.2912400455
117,34.0374459914,36.1774744027
118,34.0854536726,36.2912400455
119,34.0134421507,36.2912400455
120,34.061449832,36.2912400455
121,33.9894383101,36.5187713311
122,34.0854536726,36.5187713311
123,34.0134421507,36.5187713311
124,34.0854536726,36.5187713311
125,34.0134421507,36.5187713311
126,34.0854536726,36.6325369738
127,34.0374459914,36.6325369738
128,34.0854536726,36.6325369738
129,34.0374459914,36.6325369738
130,34.0854536726,36.6325369738
131,34.0374459914,36.6325369738
132,34.1334613538,36.6325369738
133,34.0854536726,36.6325369738
134,34.181469035,36.6325369738
135,34.1574651944,36.6325369738
136,34.1094575132,36.6325369738
137,34.0854536726,36.6325369738
138,34.181469035,36.6325369738
139,34.0854536726,36.6325369738
140,34.181469035,36.6325369738
141,34.1094575132,36.6325369738
142,34.1574651944,36.6325369738
143,34.061449832,36.6325369738
144,34.1574651944,36.6325369738
145,34.1094575132,36.6325369738
146,34.1334613538,36.6325369738
147,34.0374459914,36.7463026166
148,34.181469035,36.7463026166
149,34.0134421507,36.7463026166
150,34.1334613538,36.7463026166
151,34.061449832,36.5187713311
152,34.1094575132,36.7463026166
153,34.0134421507,36.5187713311
154,34.1094575132,36.5187713311
155,34.0134421507,36.5187713311
156,34.0134421507,36.6325369738
157,33.9654344695,36.5187713311
158,34.0134421507,36.5187713311
159,34.0134421507,36.4050056883
160,33.9894383101,36.5187713311
161,33.9654344695,36.4050056883
162,33.9894383101,36.5187713311
163,33.9174267883,36.4050056883
164,34.0374459914,36.5187713311
165,33.9894383101,36.4050056883
166,33.9894383101,36.5187713311
167,33.9414306289,36.4050056883
168,34.0134421507,36.5187713311
169,33.9414306289,36.4050056883
170,33.9894383101,36.5187713311
171,33.9174267883,36.4050056883
172,34.0374459914,36.5187713311
173,33.9414306289,36.4050056883
174,33.9894383101,36.4050056883
175,33.9414306289,36.4050056883
176,33.9894383101,36.5187713311
177,33.9414306289,36.4050056883
178,33.9654344695,36.4050056883
179,33.8934229477,36.4050056883
180,33.9894383101,36.4050056883
181,33.8694191071,36.4050056883
182,33.8694191071,36.4050056883
183,33.8454152664,36.4050056883
184,33.8934229477,36.4050056883
185,33.8214114258,36.2912400455
186,33.9174267883,36.4050056883
187,33.8694191071,36.2912400455
188,33.8934229477,36.4050056883
189,33.7974075852,36.1774744027
190,33.8934229477,36.2912400455
191,33.7974075852,36.2912400455
192,33.8694191071,36.2912400455
193,33.8214114258,36.2912400455
194,33.8454152664,36.2912400455
195,33.7974075852,36.2912400455
196,33.9174267883,36.2912400455
197,33.7974075852,36.2912400455
198,33.9174267883,36.4050056883
199,33.8454152664,36.2912400455
200,33.8214114258,36.2912400455
201,33.8694191071,36.2912400455
202,33.8694191071,36.2912400455
203,33.8454152664,36.2912400455
204,33.8694191071,36.2912400455
205,33.8454152664,36.2912400455
206,33.8694191071,36.2912400455
207,33.8454152664,36.2912400455
208,33.8934229477,36.2912400455
209,33.8934229477,36.2912400455
210,33.8694191071,36.2912400455
211,33.8694191071,36.2912400455
212,33.8934229477,36.2912400455
213,33.8454152664,36.2912400455
214,33.9654344695,36.2912400455
215,33.9174267883,36.2912400455
216,33.9894383101,36.4050056883
217,33.8454152664,36.2912400455
218,33.9414306289,36.2912400455
219,33.8694191071,36.2912400455
220,33.9654344695,36.2912400455
221,33.8694191071,36.2912400455
222,33.9414306289,36.4050056883
223,33.9414306289,36.2912400455
224,33.9654344695,36.2912400455
225,33.9894383101,36.2912400455
226,33.9654344695,36.2912400455
227,33.9414306289,36.2912400455
228,33.9654344695,36.4050056883
229,33.9654344695,36.2912400455
230,33.9894383101,36.5187713311
231,33.9414306289,36.2912400455
232,33.9654344695,36.5187713311
233,33.9654344695,36.2912400455
234,34.0134421507,36.2912400455
235,33.9654344695,36.2912400455
236,33.9894383101,36.5187713311
237,34.0134421507,36.2912400455
238,33.9654344695,36.4050056883
239,33.9654344695,36.2912400455
240,33.9654344695,36.4050056883
241,33.9654344695,36.2912400455
242,33.9894383101,36.4050056883
243,34.0134421507,36.2912400455
244,33.9414306289,36.5187713311
245,34.0134421507,36.4050056883
246,33.9654344695,36.4050056883
247,33.9894383101,36.2912400455
248,33.9894383101,36.5187713311
249,34.0134421507,36.4050056883
250,33.9894383101,36.4050056883
251,33.9894383101,36.4050056883
252,33.9894383101,36.5187713311
253,33.9894383101,36.4050056883
254,33.9894383101,36.4050056883
255,33.9654344695,36.4050056883
256,33.9894383101,36.5187713311
257,33.9654344695,36.5187713311
258,33.9894383101,36.5187713311
259,33.9654344695,36.4050056883
260,33.9894383101,36.4050056883
261,34.0134421507,36.4050056883
262,33.9894383101,36.5187713311
263,33.9894383101,36.4050056883
264,33.9894383101,36.5187713311
265,33.9654344695,36.4050056883
266,33.9894383101,36.5187713311
267,33.9894383101,36.4050056883
268,33.9894383101,36.4050056883
269,33.9654344695,36.4050056883
270,33.9894383101,36.6325369738
271,33.9414306289,36.4050056883
272,33.9894383101,36.5187713311
273,33.9894383101,36.4050056883
274,33.9894383101,36.5187713311
275,33.9894383101,36.4050056883
276,33.9894383101,36.6325369738
277,33.9654344695,36.4050056883
278,33.9894383101,36.6325369738
279,33.9894383101,36.4050056883
280,33.9654344695,36.5187713311
281,33.9654344695,36.5187713311
282,33.9894383101,36.6325369738
283,33.9894383101,36.4050056883
284,34.0134421507,36.6325369738
285,33.9894383101,36.4050056883
286,34.0134421507,36.6325369738
287,33.9894383101,36.5187713311
288,33.9894383101,36.5187713311
289,33.9894383101,36.4050056883
290,33.9894383101,36.5187713311
291,33.9894383101,36.4050056883
292,34.0134421507,36.6325369738
293,33.9654344695,36.5187713311
294,34.0134421507,36.6325369738
295,33.9894383101,36.4050056883
296,34.0374459914,36.6325369738
297,33.9894383101,36.5187713311
298,34.0134421507,36.6325369738
299,33.9894383101,36.6325369738
300,34.0374459914,36.6325369738
301,33.9894383101,36.4050056883
302,34.0374459914,36.6325369738
303,34.061449832,36.6325369738
304,34.0374459914,36.7463026166
305,34.0134421507,36.5187713311
306,34.0374459914,36.6325369738
307,34.061449832,36.5187713311
308,34.0374459914,36.7463026166
309,34.0374459914,36.5187713311
310,34.0374459914,36.7463026166
311,34.0134421507,36.5187713311
312,34.061449832,36.7463026166
313,34.1094575132,36.6325369738
314,34.0854536726,36.7463026166
315,34.0374459914,36.5187713311
316,34.0854536726,36.7463026166
317,34.0374459914,36.6325369738
318,34.0854536726,36.7463026166
319,34.0854536726,36.6325369738
320,34.0854536726,36.7463026166
321,34.0854536726,36.6325369738
322,34.0854536726,36.7463026166
323,34.0854536726,36.7463026166
324,34.0854536726,36.7463026166
325,34.061449832,36.7463026166
326,34.0854536726,36.7463026166
327,34.061449832,36.7463026166
328,34.061449832,36.7463026166
329,34.061449832,36.7463026166
330,34.061449832,36.7463026166
331,34.061449832,36.7463026166
332,34.061449832,36.7463026166
333,34.061449832,36.7463026166
334,34.061449832,36.7463026166
335,34.0854536726,36.7463026166
336,34.0374459914,36.7463026166
337,34.0374459914,36.7463026166
338,34.0374459914,36.7463026166
339,34.0134421507,36.6325369738
340,33.9894383101,36.6325369738
341,34.0374459914,36.6325369738
342,33.9654344695,36.5187713311
343,33.9894383101,36.6325369738
344,33.9654344695,36.5187713311
345,34.0854536726,36.6325369738
346,33.9654344695,36.5187713311
347,33.9894383101,36.6325369738
348,33.9414306289,36.4050056883
349,33.9414306289,36.6325369738
350,33.9654344695,36.5187713311
351,34.0134421507,36.6325369738
352,33.9414306289,36.4050056883
353,33.9654344695,36.6325369738
354,33.9174267883,36.4050056883
355,33.9414306289,36.6325369738
356,33.9414306289,36.4050056883
357,33.9414306289,36.6325369738
358,33.9174267883,36.4050056883
359,33.9894383101,36.6325369738
360,33.9654344695,36.4050056883
361,33.9894383101,36.5187713311
362,33.9174267883,36.4050056883
363,33.9894383101,36.5187713311
364,33.9654344695,36.2912400455
365,34.0134421507,36.4050056883
366,33.9894383101,36.2912400455
367,33.9894383101,36.5187713311
368,34.0134421507,36.4050056883
369,33.9894383101,36.4050056883
370,33.9654344695,36.2912400455
371,33.9894383101,36.4050056883
372,33.9654344695,36.2912400455
373,33.9894383101,36.4050056883
374,33.9414306289,36.2912400455
375,33.9894383101,36.4050056883
376,33.9654344695,36.2912400455
377,33.9654344695,36.4050056883
378,33.9414306289,36.2912400455
379,33.9654344695,36.4050056883
380,33.9654344695,36.4050056883
381,33.9894383101,36.4050056883
382,33.9414306289,36.2912400455
383,33.9654344695,36.4050056883
384,33.9174267883,36.2912400455
385,33.9654344695,36.4050056883
386,33.9174267883,36.2912400455
387,33.9414306289,36.4050056883
388,33.9174267883,36.4050056883
389,33.9174267883,36.4050056883
390,33.9174267883,36.2912400455
391,33.9174267883,36.4050056883
392,33.9414306289,36.2912400455
393,33.9414306289,36.4050056883
394,33.9174267883,36.4050056883
395,33.9654344695,36.4050056883
396,33.9654344695,36.4050056883
397,33.9174267883,36.4050056883
398,34.0134421507,36.4050056883
399,33.9414306289,36.4050056883
400,33.9894383101,36.4050056883
401,33.9414306289,36.4050056883
402,33.9654344695,36.4050056883
403,33.9654344695,36.4050056883
404,33.9894383101,36.4050056883
405,34.0134421507,36.4050056883
406,33.9894383101,36.4050056883
407,33.9654344695,36.4050056883
408,34.0374459914,36.4050056883
409,34.0134421507,36.2912400455
410,34.0134421507,36.4050056883
411,33.9894383101,36.4050056883
412,34.0374459914,36.2912400455
413,34.0134421507,36.2912400455
414,34.0134421507,36.4050056883
415,34.0134421507,36.2912400455
416,34.0134421507,36.4050056883
417,34.0854536726,36.2912400455
418,34.061449832,36.4050056883
419,34.0854536726,36.2912400455
420,34.061449832,36.4050056883
421,34.0854536726,36.2912400455
422,34.061449832,36.4050056883
423,34.0854536726,36.2912400455
424,34.0134421507,36.2912400455
425,34.0854536726,36.2912400455
426,34.0854536726,36.4050056883
427,34.0854536726,36.2912400455
428,34.0854536726,36.2912400455
429,34.0854536726,36.2912400455
430,34.0854536726,36.4050056883
431,34.0854536726,36.1774744027
432,34.0854536726,36.2912400455
433,34.1334613538,36.2912400455
434,34.0854536726,36.2912400455
435,34.0854536726,36.2912400455
