Number of node in 1st hidden layer,train score,validation score,test score,iterations
5,0.908305328853,61.6609783845,62.9930394432,521
10,0.999759961594,81.9112627986,79.5823665893,587
15,0.999759961594,87.5995449374,87.4709976798,534
20,1.0,91.2400455063,91.0672853828,394
25,1.0,94.0841865757,91.879350348,350
30,1.0,95.5631399317,93.5034802784,317
35,1.0,95.6769055745,93.0394431555,293
40,1.0,95.5631399317,94.0835266821,278
45,1.0,95.6769055745,94.5475638051,255
50,1.0,96.4732650739,94.5475638051,244
55,1.0,96.4732650739,94.6635730858,235
60,1.0,96.2457337884,94.7795823666,226
65,1.0,96.8145620023,95.939675174,215
70,1.0,96.1319681456,94.3155452436,210
75,1.0,97.1558589306,94.6635730858,205
80,1.0,97.1558589306,95.3596287703,198
85,1.0,97.2696245734,94.8955916473,192
90,1.0,97.0420932878,95.3596287703,187
95,1.0,96.9283276451,94.7795823666,185
100,1.0,97.0420932878,94.8955916473,179
105,1.0,97.3833902162,95.1276102088,177
110,1.0,97.0420932878,95.1276102088,175
115,1.0,97.0420932878,95.2436194896,172
120,1.0,97.1558589306,95.475638051,171
125,1.0,97.0420932878,95.3596287703,164
130,1.0,97.1558589306,95.3596287703,164
135,1.0,96.7007963595,95.475638051,161
140,1.0,97.4971558589,95.5916473318,160
145,1.0,97.6109215017,95.3596287703,157
150,1.0,97.1558589306,95.5916473318,155
155,1.0,97.1558589306,95.0116009281,155
160,1.0,97.2696245734,95.475638051,151
165,1.0,97.4971558589,95.475638051,151
170,1.0,97.3833902162,95.3596287703,148
175,1.0,97.1558589306,95.3596287703,146
180,1.0,97.4971558589,95.5916473318,146
185,1.0,97.4971558589,95.939675174,144
190,1.0,97.0420932878,95.3596287703,142
195,1.0,97.1558589306,95.0116009281,143
200,1.0,97.7246871445,95.7076566125,140
205,1.0,97.2696245734,95.5916473318,138
210,1.0,97.7246871445,95.5916473318,138
215,1.0,97.7246871445,95.7076566125,138
220,1.0,97.3833902162,95.7076566125,137
225,1.0,97.4971558589,94.8955916473,135
230,1.0,97.4971558589,95.1276102088,135
235,1.0,97.2696245734,95.5916473318,134
240,1.0,97.7246871445,95.7076566125,133
245,1.0,97.2696245734,95.0116009281,132
250,1.0,97.7246871445,95.1276102088,132
255,1.0,97.4971558589,95.0116009281,131
260,1.0,97.2696245734,95.5916473318,130
265,1.0,97.3833902162,95.475638051,129
270,1.0,97.3833902162,95.2436194896,128
275,1.0,97.0420932878,95.475638051,127
280,1.0,97.4971558589,95.2436194896,126
285,1.0,97.3833902162,95.2436194896,128
290,1.0,97.2696245734,95.3596287703,126
295,1.0,97.1558589306,95.3596287703,126
300,1.0,97.4971558589,95.0116009281,125
305,1.0,97.3833902162,95.2436194896,124
310,1.0,97.2696245734,95.5916473318,122
315,1.0,97.7246871445,95.475638051,123
320,1.0,97.7246871445,95.0116009281,122
325,1.0,97.3833902162,95.3596287703,121
330,1.0,97.1558589306,95.5916473318,121
335,1.0,97.6109215017,95.1276102088,121
340,1.0,97.6109215017,95.475638051,121
345,1.0,96.9283276451,95.475638051,119
350,1.0,97.2696245734,94.8955916473,120
355,1.0,97.1558589306,95.0116009281,120
360,1.0,97.4971558589,95.1276102088,118
365,1.0,97.4971558589,95.475638051,117
370,1.0,97.6109215017,95.7076566125,119
375,1.0,97.2696245734,95.3596287703,116
380,1.0,97.7246871445,95.3596287703,117
385,1.0,97.3833902162,95.3596287703,117
390,1.0,96.9283276451,95.3596287703,114
395,1.0,97.4971558589,95.3596287703,115
