Sentance Len,Freqency
1,815
2,1279
3,1989
4,2327
5,2368
6,2235
7,1988
8,1629
9,1395
10,1201
11,950
12,835
13,678
14,598
15,491
16,391
17,324
18,256
19,224
20,198
21,144
22,118
23,116
24,82
25,81
26,59
27,60
28,50
29,51
30,43
31,22
32,27
33,23
34,21
35,18
36,7
37,13
38,13
39,14
40,8
41,6
42,7
43,4
44,6
45,3
46,4
47,3
48,3
49,2
50,2
51,1
54,1
56,1
58,1
60,1
61,1
62,1
64,1
65,1
66,1
67,1
70,1
84,1
93,1
103,1
106,1
